날짜,리뷰
2021.02.20,"캐주얼한 룩에 아주 잘어울리는 가방인것 같아요!
대학생 같아보이고 좋습니다 ㅎㅎ"
2021.02.02,아기자기하고 이뿌네요 크기가 생각보다 작긴해요
2021.01.22,뜯었을때 별로 안 커서 후회했는데 메보니까 등딱지 같아요
2021.01.20,튼튼하고 모양 예쁘고 수납 넉넉합니다 아주 마음에 들어요 가방 장만하고 시펐는데 잘산 것 같아요
2020.12.05,안에 생각보다 넉넉하고 사진이랑 느낌 똑같습니다.
2020.12.03,제가 생각한 것보단 작네요 근데 무난무난하니 예쁨 책가방으로는 적당한 것 같아요 스트릿 캐주얼 이런 스타일이랑 잘 어울릴듯
2020.12.02,"디자인 진짜 예쁘네요
커버낫 사려다가 이거샀는데 잘산거같아요..."
2020.11.26,적당히 수납공간도 있고 괜찮은 것 같아요 낫밷인듯!
2022.04.03,"넘예뿌단!!!!!!글구 책진짜많이들어가요
근데 쫌 많이 흔함
하지만난괨찮아"
2022.03.22,칼하트 로고 이뻐요! 가방도 튼튼한것 같아요! 좋아용
2022.03.18,학교갈 때 매려고 산건데 넉넉하고 이뻐용 많이 파세요~~!~!!
2022.03.17,가방 바닥면이 가죽소재라 튼튼하고 아이패드나 노트북 따로 넣을 수 있는 공간도 있어요 가방이 커서 책이랑 소지품 많이 넣고 다닐 수 있어서 좋아요 가방 끈이 두꺼워서 어깨 안아프고 편해요
2022.03.15,가방 디자인이나 색감이나 딱 예상했던만큼이에요 굳이 한가지 단점을 뽑자면 가방무게가 좀 있다는정도?
2022.03.15,너무 색감이쁘구 재질도 좋네요 만족 또 만족합니다
2022.03.15,모든부분에서 전부 만족합니다 가격도 합리적이라고 생각해용
2022.03.13,"요즘 나오는 가방들보단 조금 작은 느낌이 있어요
그래도 무난하니 예뻐요"
2022.03.13,생각보다 많이 들어갑니다 근데 생각보다 흔해서 길 가다가 한 명쯤은 이 가방 매고있음
2022.03.12,너무 예쁘고 좋습니다~ 적극추천해요!! 가격만큼하는 것 같아요
2022.03.11,크기도 좋고 디자인도 심플하고 그냥 무난한 백팩이 사고 싶으면 딱인거 같아요
2022.03.10,가방 밑창 야무진 재질이라 좋구요 수납공간이 넓어서 가장 좋네요
2022.03.08,딱원하던 크기에 수납공간이었어요 조금 흔하지만 그만큼 무난하고 예쁜 듯
2022.03.08,역시 칼하트 백팩 넘 예쁩니다ㅎ 진짜 잘 쓰구 있어요. 짱
2022.03.07,딱 적당한 스탠다드 핏의 백팩 이에여 생각보다 많이 들어갑니다
2022.03.06,학교다니며 매고 다니기 편하고 가벼워 좋습니다
2022.03.06,학교 가방으로 적당한 사이즈이고 가볍고 예뻐요
2022.03.05,학교 가방으로 샀는데 수납공간이 알차서 좋아용
2022.03.05,"처음 받았을때는 너무 무난한가 고민했는데
물건을 넣어보고 가방을 착용해보니 가볍고, 무난해서 아무옷에는 잘 어울리고 마음에 듭니다"
2022.03.05,클래식한 기본 가방. 고등학교 입학 선물로 받았는데 탄탄해서 돌바닥에 문대지 않는 이상 3년 동안 문제 없을 것 같네요. 특히 앞 주머니 칸이 잘 나눠져있어서 좋아씀 ㅎㅎ
2022.03.04,생각보다 공간도 널널하고 색도 괜찮고 상당히 만족합니다!
2022.03.04,생각보다?? 크기는 적당했고 칼하트 로고가?? 너무 귀여워서 맘에 들어용 학교보단 학원가방으로 추천드려요!!
2022.03.02,다 큰 남성이 들고다니기에는 조금 작은거같아요
2022.03.02,제질도 튼튼해보이고 수납도 적당합니다. 심플해요
2022.03.01,입학해서 구매했는데 품질 좋고 사이즈도 적당해서 좋아요
2022.02.28,수납공간이 예상보다 다양해서 좋네요 완전추천드립니다
2022.02.27,"밑바닥이 가죽이라 이염/오염에 강할 것 같다는 기대감이 듦,, 앞판에 붙어 있는 포켓 두 개는 첨엔 어색해보였는데 막상 써보니 짱 편함!! 용도별로 소지품을 나눠 넣을 수 있어서 잘 쓰는 중 키키"
2022.02.26,보자마자 마음에 들어서 샀는데 너무 이뻐요! 공간분리도 잘 되어있고 디자인 예쁘네요
2022.02.26,"디자인이 심플하고 수납도 용이하고
가볍고 편리할것같아요"
2022.02.26,칼하트 가방 처음 사는데 크기 적당하고 막 들고 다니기에 좋을 것 같아요
2022.02.26,칼하트 백팩 심플하게 이뻐보여서 샀는데 사이즈가 좀 작아서 아쉽네요
2022.02.24,딱 막 들고다니기 좋은 가방인 것 같아요 넣을 공간 많아서 좋네요 끈 조절이 좀 힘듦
2022.02.24,수납 공간도 넉넉하고 잘 쓸 것 같아요! 너무 이뻐요 ㅎㅎ
2022.02.23,"수납공간이 넉넉해서 학생들기 딱이네요, 중학생 아들이 좋아하네요"
2022.02.23,가방이 되게 컴팩트하고 이뻐요 디자인더 심플하고 너무 좋아요
2022.02.23,늦은 후기지만 배송오고부터 매일 매는 가방 중 하나랍니다 너무 예쁘고 수납공간도 널널하요
2022.02.23,"심플하니 예뻐용
수납공간이 그렇게 많진 않은데 걍 무난하게 들기 편해요"
2022.02.23,유행 안 타고 딱 좋을 것 같아요 너무 맘에 들고 가방 되게 험하게 다루는 편이라 그냥 학교나 학원에서도 막 바닥에 두는데 밑에는 가죽?으로 되어있어서 되게 튼튼하게 잘 쓸 것 같아요 옆에 매쉬망도 되게 깊어서 좋아요 교과서 11권 넣었는데도 2~3권은 더 넣어도 될 것 같아요 많이 파세여><
2022.02.22,가방을 받고 봤는데 이뻐서 괜찮았고 수납공간도 많아서 좋아요
2022.02.22,"올해 새학기에 멜 백팩으로 샀는데 가볍고, 배송도 빠르고, 좋네요 ㅎㅎ"
2022.02.22,"대학생 가방으로 구매했어요!
노트북 수납공간에 그램16도 들어가요!!
근데 파우치를 넣고는 좀 부족할수도있을거같기도해요..! 파우치는 아직 없어서 모르겠네요 ㅠㅠ
수납도 적당한거같아요
밑에 판? 같은건없지만 가죽이라 괜찮은거같아요
궁금하신거 물어보세용..!"
2022.02.22,수납공간도 넉넉하고 크기도 적당해서 쓰기 좋아요
2022.02.22,생각보다 사이즈가 적당ㄱ하고 노트북 하나 들어갈 정도입니다
2022.02.22,작다는 말이 많아서 걱정했는데 원래 쓰던 가방이랑 비슷한 크기라 전 만족했어요 수납공간은 교과서 다 넣을 수 있고 문제집도 넉넉하게 들어가요 새학기 가방으로 잘 쓸게요!
2022.02.22,"크기가 넘 부담스럽게 크지 않아서 좋아요
안에 수납 공간도 꽤 넉넉해요"
2022.02.20,"디자인이 심플해서 좋아요
15.6인치 크기의 노트북이 잘 들어갈까 걱정했는데 잘 들어가네요 ??"
2022.02.20,제것만 그런지 모르겠는데 마감상태가 영... ㅜㅜ 디자인만 보면 무난했어요
2022.02.19,심플하면서도 평상시에도 차고 다니기도 좋아요
2022.02.19,"가방 좋아요 ! 수납공간 짱 많고
아이패드나 노트북 넣을수있는 공간 따로있어서 좋아여 ㅎ 양옆에 포켓도 유용하고
아주 잘매고 다니고 있어요 책 많이들어가고 좋습니다 ㅎㅎ"
2022.02.18,수납공간도 많고 가벼워서 이것저것 넣고 다닐 때 유용할 것 같아요 제 몸에도 잘 맞네요
2022.02.17,클 줄 알았는데 조금 작아요 그래도 그냥 쓰려구요
2022.02.14,사이즈도 좋고 튼튼해보여요.생각보다가벼워요
2022.02.13,튼튼해서 좋고 노트북이 들어가서 좋다. 그리고 색깔이 매우 예쁘고 클래식하다.
2022.02.10,생각보다 수납공간에 많아요! 그리고 책도 와방 많이 들어갑니당
2022.02.09,딸아이가 졸업/입학 선물했는대 좋아하고 만족하내요.
2022.02.09,생각보다는 수납공간이 많지 않네요 그냥 딱 간결하게 있을것만 있는 느낌? 그래도 기본 책가방으로 예뻐요 크기도 적당하고
2022.02.07,마음에 들어요 잘 착용하고 다닐거 같아요 사이즈 적당 합니다.
2022.02.07,믿고사는 칼하트 5년은 거뜬할거같은내구성이에요
2022.02.06,생각보다 작아요 그래도 물건 많이들어가서 좋아요
2022.02.05,예뻐요!! 무난해서 오래 쓸 수 있을 것 같구 튼튼해보여용
2022.02.05,칼하트 백팩이 디자인도 괜찮고 안에 공간도 넓어서 좋아요!
2022.02.05,가방이 생각보다 크지 않지만 예뻐서 맘에 드네요
2022.02.05,생각했던것보다 작네용 ㅋㅋ 책 많이 넣고 다니는 학생분이시라면 비추..!! 디자인은 예뻐요??
2022.02.04,가방 가볍네요 100프로는 아니지만 가격 착하고 학생가방으론 부족하진않아요 3년동안 잘 써보겠습니다 완전 튼튼해보이진 않아 좀 아쉽네요
2022.02.03,가방 자체에 포인트가 없어서 오히려 좋았어요 자기가 꾸미기 나름대로 사용할 수 있을 것같아요
2022.01.29,가방 크기도 적당하고 역시 가방은 칼하트네용 자주쓸거같애요
2022.01.29,수납공간도 많고 널널해서 좋아요 아쉬운점이 있다면 위아래로 좀 긴것같은 느낌?
2022.01.27,노트북이랑 아이패드 넣을 공간도 있고 물병도 넣을 수 있어요!! 수납 짱이에요
2022.01.22,폭이 넓어서 많이 들어갑니다. 수납할 공간도 다양하게 있어서 유용해요.
2022.01.22,사이즈는 남자한테는 딱 맞고 여자한테는 조금 큰 정도로 재질 자체가 약간 무게감있어요.
2022.01.15,가방이 사진에 비해서 납작한데 공간도 넉넉하고 좋아요
2022.01.11,정말 무난무난한 아이템입미다 하지만 제꺼는 불량인지 하얀실밥이 보이네요
2022.01.05,크기도 적당하고 가방이 가벼워요~! 그리고 유행안타는 모양이라 들기 좋아요
2022.01.02,"튼튼하고 이뻐요
학교 책가방 용으로 샀는데 노트북이랑 책들 정도는 다 들어갑니다"
2021.12.30,오빠 선물로 사줬는데 만족해하는 거 같네요! 무난하게 선물하기 좋아요
2021.12.28,생각보다 작은감이 있었는데 제품 자체는 만족스러워요
2021.12.26,디자인 예뻐서 잘 사용할것 같습니다~ 유니크한데 깔끔해서 좋아요
