날짜,리뷰
2021.10.02,너무 이뻐요 사길 잘했어요 사고나고 다음날인가 다시보니 할인이 끝나서 아 사길 잘했다 생각했어요 실물도 짱입니다 또 할인을 하거나 쿠폰이 있으시다면 꼭 구매하시고 아니더라두 구매하셔도 후회 안하실꺼에요 저는 사고싶었던 제품 완전 할인받아서 너무 기분 좋네요!
2021.09.29,생각보다 작은데 그래도 안에 들어갈건 다 들어가영 조아요
2021.09.27,사이즈 생각보다 작았는데 필요한 짐 추려서 들고다니기에 좋을것같아요 스트랩에 로고가 포인트되고 이쁘네용
2022.03.31,이 브랜드 허니제이가 맨 가방 산 뒤로 두번째 구매입니당 ㅎㅎ 활용도 조아욘
2022.03.24,가볍고 색상도 산뜻해서 좋아요. 수납공간도 나름 있는 편이네요.
2022.03.17,어떤 색을 구매할지 엄청 고민하다 검정 했는데 잘 한 거 같아요 무난하게 아무때나 들고 다니기 편할 거 같아요
2022.03.14,"삶으 무게가 무거울때~~~ 인샌~~~
가방이라도 가볍고 싶을때

달랑달랑 막 들기 좋아욤@_@

내부 카드슬롯 하나잇어서 카드하나 낑구고
(지갑은 넣기 무리라는 소리)
에어팟 쿠키 립밤 머리핀 이정도 들어감니다"
2022.03.14,"역시는 역심니다 ,, 고민하지 말고 꼭 사세요 ! 어디에나
찰떡이예요"
2022.03.12,실제로 보면 생각했던 것보다 크기가 작은데 그래서 더 만족이었어요! 수납 공간도 꽤 있구 엄청 예쁘네여~~
2022.03.08,너무 밝은 색은 아니고 딱 괜찮은 파스텔톤이라 마음에 들어요~
2022.03.02,첨으로 민트색 도전해봤는데 예뽀용 올블랙이나 올화이트룩에 잘어울릴듯
2022.02.20,생각보다 색깔이 누리끼리 하긴 한데 이쁜 것 같아요
2022.02.17,깔끔하니 귀엽습니다. 가벼워서 착용감도 좋습니다.
2022.02.12,무난템 컬러 갖고싶어서 샀는데 작고 예뻐욤 착용감 굿
2022.02.10,생각보다 작긴한데 어디에나 무난하게 이쁩니당
2022.02.06,"생각했던 것보다 작아서 수납공간 부족하면 어쩌지 그랬는데 그래도 간단한 쿠션,립,지갑,폰은 충분히 들어가네요~!"
2022.01.26,색깔은 화면보다는 좀 더 차분한 색이에요. 근데 어두우니까 매력이 반감되는 느낌ㅠㅠ. 가격에 비해 허접한 느낌이 있어요. 지퍼쪽에 실밥이 튀어나와서 그랬는지는 몰라도. 수납은 틴트랑 팩트 중지갑정도 넣으면 꽉 찹니다. 진짜 가볍게 외출할때 들기 좋아요
2022.01.26,생각보다 작아요 근데 귀여움 많이는 안들어가는데 그렇다고 부족하지도 않음 파우치는 안들어감..
2022.01.25,매장가서 보고 무신사에서 쿠폰써서 싸게샀어요! 무신사짱
2022.01.24,"생각했던 것보단 작지만, 어느정도 수납이 가능합니다. 기본템으로 들고 다니기 좋아요."
2022.01.19,"작고 귀여워요!!
폰이랑 지갑만들고 간단하게 다닐수 있어서 좋어요"
2021.12.23,"배송 아주 빠르고 안전하게 잘 왔어요
색감이 너무 예뻐요"
2021.12.15,매장에서 둘러보고 무신사가 제일 저렴해서 구매했어요 ㅎㅎ 데일리백으로 굳
2021.12.15,색상이 실물로 보니 너무 이쁘네요. 가볍고 이뻐서 자주 쓸 것 같아요.
2021.12.02,생각보다 수납은 적지만 원래 물건을 많이 안들고 다녀서 딱 좋아요! 포인트로 최고에요
2021.12.01,"예쁜데 실제 색깔은 그레이에 가까워요
그래도 생각보다 수납력도 좋고 자주들거같아요"
2021.11.28,가죽소재로 탄탄하고 각잡혀 있어서 이뻐요 ! 그리고 스크레치도 잘 안날 소재라 오래 들 수 있을 것 같아용
2021.11.27,생각보다 많이 들어가구 포인트 컬러로 매치하기 넘 좋아여
2021.11.26,"진짜 생각보다 크기는 더 작아요ㅋㅋ
근데 수납력이 생각보다 좋습니다"
2021.11.22,가볍게 착용하기 좋은 백 같습니다. 퀄리티도 좋고 마음에 들어요.
2021.11.20,디자인도 이쁘고 가볍네요. 제품 마감도 잘되어있어요.
2021.11.19,"호보백을 선호해서 자주 들고다니는데 너무 이뻐요!
스트랩에 영어써있어서 더 매력적인거같아요:)"
2021.11.17,받아보고 생각보다 너무 작아서 당황했지만 색깔과 모양 너무 예버요
2021.11.06,보자마자 반해서 고민없이 구매했는데 실물로 보니까 너무 이뻐서 다른 색상도 구매하려구요~!!ㅎㅎ
2021.10.26,생각했던 것보다 살짝 더 작은거같지만 그래도 너무 이뻐요 가볍게 들기 최고! 디자인은 미쳤습니다
2021.10.19,너무 예쁘고 귀여워서 여기저기 많이 들고 다녀요!! 수납도 생각보다 넉넉해서 더 좋은 것 같아용 ㅎㅎ
2021.10.14,진짜 실물이 백배 더 예뻐요! 수납도 넉넉해서 좋네요
2021.10.14,"총알배송이에용ㅋㅋ
고민하다가 할인하길래 주문했는데
진작 할걸그랬네요~ㅎㅎ 작고 아담해요~
유행안탈거같고 이쁘네요~"
2021.10.14,상품은 이뻐요 근데 저번에 카드지갑사은품으로 주는 행사할때 샀는데 배송이 한달동안 안돼서 취소해서 다시 주문한거거든요ㅎ 배송만 빨랐으면 저번에 들 수 있었을텐데 아쉬워요
2021.10.13,색감이 넘 예뻐요 ㅎㅎ 크기도 적당하고 수납공간도 필요한거 넣을만큼 있어요
2021.10.12,색깔이 너무 예뻐요! 스트랩에 글씨 있는 포인트도 마음에 듭니당
2021.10.09,다른 후기들처럼 생각보다 크기가 더 작은 느낌이지만 귀엽고 이뻐요
2021.10.08,색상이 너무 이쁘네요. 디자인도 색상도 너무 마음에 듭니다.
2021.10.08,은은한 광택이 있어 심플한듯 하면서도 세련된 멋이 있네요
2021.10.02,이뻐요 지금은 가을시즌이지만 파스텔 톤 옷 입고 이거 가지고 가면 진짜 이쁠거같아요 색이 특별해서 좋구요 저는 잘샀다고 생각합니다 만족해요!!
2021.09.29,생각보다 작은데 그래도 안에 들어갈건 다 들어가영 조아요
2021.09.27,사이즈 생각보다 작았는데 필요한 짐 추려서 들고다니기에 좋을것같아요 스트랩에 로고가 포인트되고 이쁘네용
2021.10.08,은은한 광택이 있어 심플한듯 하면서도 세련된 멋이 있네요
2021.10.02,이뻐요 지금은 가을시즌이지만 파스텔 톤 옷 입고 이거 가지고 가면 진짜 이쁠거같아요 색이 특별해서 좋구요 저는 잘샀다고 생각합니다 만족해요!!
2021.09.29,생각보다 작은데 그래도 안에 들어갈건 다 들어가영 조아요
2021.09.27,사이즈 생각보다 작았는데 필요한 짐 추려서 들고다니기에 좋을것같아요 스트랩에 로고가 포인트되고 이쁘네용
