날짜,리뷰
2021.02.13,"1.사이즈
작은 편입니다. 많이 들어갈 것 같진 않고
따로 수납공간은 앞 주머니가 다라서 은근의
불편함이 있을 순 있어요.

2.디자인
말할 부분이 없네요.. 이 깔끔함에 샀으니까요..ㅎㅎ

3.활용도
엄청 많이는 못 넣는 가방인 것이 장점이기에
적당한게 필요한 것만 넣어서 다니면 문제가 없을
것이고 밑에 받침대는 없으니 쏠림 현상은 어쩔 수
없네요...ㅎ"
2021.02.09,"사진이랑 똑같아요 귀여워서 좋습니당 ㅎㅎ
처음에 각지는게 너무 심해룡"
2021.02.06,"색감 재질 좋으며
사이즈가 보통이라 수납은 많이 되지 않습니다"
2021.02.03,15인치 노트북 들어가고도 자리가 넉넉하고 가방 자체가 가벼워서 너무 좋네요! 심플한 디자인..
2021.01.27,딱 예상했던 가방이라 좋아요! 생각보다는 조금 작아요 ㅋ 그래도 노트북 들어가고 딱 좋네요
2021.01.27,"남자친구랑 커플로 샀는데 좋아해용
가볍게 쓰기 좋아요!"
2022.04.01,그냥 깔끔하게 기본 가방이여서 무난하게 자주 매요!
2022.03.28,저렴한 무지백팩같은 퀄이긴 한데 가볍고 좋은 것 같네요
2022.03.28,"가방 사이즈도 좋고 심플해서 예뻐요
학교다닐때 가볍게 들고다니기 좋습니다.
주머니가 부족과 가방 열고 닫기가 조금 불편해서... 조금 아쉽네여"
2022.03.27,깔끔하고 크기도 적당하고 무난해요 지퍼가 좀 ㅂ벅ㅂ벅하긴 합니다
2022.03.27,가방 내부에 수납공간은 업고 밖에 주머니 처럼 달린 수납공간 하나가 끝이에요
2022.03.26,평범하네요 초반에 지퍼가 많이 빡빡하고 모양이 딱딱하게 잡혀있어요
2022.03.26,간단하게 이쁘고 잘 들어가요 무난한게 참 좋네옄
2022.03.25,가방가볍고 좋아요 근데 지퍼가 잘 안열려서 좀 불편해요
2022.03.24,좋아요 대학생가방으로 괜찮은거 같아요 잘 샀어요
2022.03.23,포장도 잘되어있고 생각보다 더 예쁜것 같습니다!!
2022.03.18,전투용으로 매기 좋아요. 크기는 적당합니다 딱 맞아요
2022.03.18,"노트북 자리가 없어서 아쉬웠지만
예뻐서 매고 다닙니다"
2022.03.16,무난하게 잘 매고 다닐 거 같아요!! 휘뚜루마뚜루 매기 좋은 기본탬 !
2022.03.15,16인치 노트북이 들어가는 사이즈입니다. 노트북 넣고 책 4권 정도 더 넣어 다니고 있습니다.
2022.03.14,"좋음
수납공간은 앞에 포켓하난데 딱히 필요없어서 만족"
2022.03.13,너무 색감이쁘구 재질도 좋네요 만족 또 만족합니다
2022.03.12,평소에 13인치 노트북이랑 책 몇권 같이 넣으려고 샀는데 만족합니다!
2022.03.10,"학원다닐때 가볍게 들고 다닐려고 구매했어요
그러기 때문에 수납은 딱히 중요하지 않아서 괜찮습니다!
필요한 최소한은 있는 정도라고 생각해서 무난템을 사용하기 좋을 것 같아요"
2022.03.09,사이즈가 정말 적당합니다. 몸에 딱 맞는 들고다니기 좋은
2022.03.08,동생 새학기 선물로 사줬어요 맘에 들어하네요 수납공간이 그닥 많지 않고 밑에 판도 없지만 이쁘고 가볍게 메기 좋네요
2022.03.07,너무 크지도 작지도 않아서 무난하게 착용하기좋아요
2022.03.04,"빳빳한 재질이라 처음엔 좀 힘들지만
그래도 무난하게 어디에나 들고다닐 수 있을 것 같아요.
사진이랑 똑같습니다."
2022.03.04,대학생활 하면서 수업때 쓰실거면 정말 추천해요 심플하고 디자인도 이뻐요
2022.03.04,"디자인도 심플해서 맘에들고 크기도 딱 좋아요!
가방 내부에 수납은 없는데 외부에 하나 있어서 깔끔하고 좋네용"
2022.03.03,간단한 짐 들고 다닐때 넘 좋아요 가방도 가볍고 짱 이쁩니다!!
2022.03.02,다 좋은데 사이즈가 좀 작아서 아쉽네요....책가방으로는 좀 아닌것 같아요..
2022.03.02,동생사줬는데 제가 더 많이 사용할 것 같네요. 수납공간도 많고 좋아요
2022.02.27,꽤 좋아요 잘 쓰고 있습니다 좀 짱짱한데 길들이죠 뭐
2022.02.27,들고 다니기에 적당한 크기고 이뻐요 지퍼는 좀 빡빡함
2022.02.26,사이즈도 너무 작거나 크지않고 학교가ㄹ때 휘두루 마뚜루 메기 조하요
2022.02.26,가방이 좀 눌려서 와서 놀랐는데 다시 피니까 괜찮았어요 근데 싼티는 납니다 그래도 이뻐요
2022.02.23,그냥 딱 가본스타일입니다 근데 지퍼가 퍽퍽합니다
2022.02.22,재질이 많이 빳빳해서 길들이는데 시간이 좀 필요할 것 같아용
2022.02.22,가방이 가볍고 생각외로 물건이 많이 들어가요 배송도 빨라요
2022.02.22,학교에 들고갈 용도로 샀는데 이뻐요 15인치 노트북 안 들어갈까 걱정했는데 넉넉하게 들어가네요! 조금 작은 거 같기도 하지만 가볍게 들고다니려고요
2022.02.22,가방이 생각보다 뻣뻣한 거 빼면 괜찮아요 딱 기본 아이템
