날짜,리뷰
2022.03.10,작고 귀여워요 어떤 스타일이든 잘 어울려요 간단하게 짐챙길때 좋은거같아요
2022.03.09,이뻐요. 작지만 생각보다 많이 들어 가는거 같아요 !!
2022.03.03,"심플하니 예쁘네여..!
어디에든 가지고 다니기 좋고
크로스로 할때 가죽 로고가 예뻐용!"
2022.03.03,진짜 심플하고 어디에나 잘 어울리고 활용도 갑이에요 ㅠㅠ 웬만한건 다 들어가고 완전 애용중입니다
2022.02.19,제가 정말 딱 원했던 베이지색이예요. 너무너무너무 예쁨ㅎ 공간도 넉넉해서 이것저것 진짜 많이 들어가요
2022.02.18,사진보다 조금 더 쿨한 핑크색인데 진짜 이뻐요 입구가 생각보다 좁긴 하지만 괜찮아요 전 보부상이 아니라 넉넉해요
2022.02.16,너무 맘에 들어용 색깔도 예쁘고 생각했던 그대로예요
2022.02.15,한참 고민하다가 구매했는데 너무 귀엽고 맘에들어요
2022.02.15,작은 가방 자체를 처음 사보는데 너무 예쁩니다... 큰가방 메고 싶지 않을 정도 ㅋ..완전 제 스타일 입니다 퀄리티도 너무 좋네요 할인할때 너무 잘샀어요
2022.02.09,"품질 좋고 깜끔해서 이뻐요!
힙하게도 매치할 수 있고 편하게도 매치할 수 있어서 좋은거 같고 디자인도 예쁩니당"
2022.02.09,"생~각보다는 작은 사이즈지만!
너무 귀엽고ㅠㅠㅔ 예뻐요!!!
날 풀리면 봄에 가방 챡! 매고 다니기
좋을 것 같네용??"
2022.02.08,색깔 진짜 예뻐요 예상했던 그대로고 실물 너무 예쁩니다!
2022.02.08,"너무예뻐요
허니제이언니 손민수했는데 만족감짱입니다
작고 소중해요,,,
무신사에서 사는건 짧은 어께끈 퍼가 안오네요
그래도 저렴하게 사서 만족합니다"
2022.02.05,배송은 무지빨리왓구요 화면이랑똑같아요 가볍고 이뿌고데일리로자주할거같아요 너무이뿝니다
2022.01.29,친구 생일선물로 줬는데 마음에 들어했어요! 수납은 짐 많이 안들고 다니시는 편이면 적당합니다
2022.01.29,이런 제품을 평소에 구매 하고 싶었는데 찰떡이네요 !!
