명사,빈도수
고가,1
지불,1
소화,1
탬,1
껀,1
보가,1
잌,1
스트릿,1
패션,1
요새,1
정장,1
휘뚤마뚤,1
사랑,1
더블,1
스트렙,1
베이지,1
대서,1
결과,1
정해,1
고객,1
반영,1
건가,1
국룰,1
미니미,1
아마,1
예정,1
제대로,1
불찰,1
최대로,1
키도,1
오떻,1
결제,1
직전,1
댱,1
크러스끈,1
구성,1
적립금,1
최소,1
센치,1
적당,1
오히려,1
먼지,1
메라,1
벌써,1
횟수,1
신경,1
유니크,1
룩,1
청바지,1
매,1
구경,1
세대,1
동전,1
메인,1
볼일,1
의류,1
금방,1
헤지,1
원색,1
박스,1
걸이,1
철,1
에기스,1
밖,1
진짜진짜,1
쪼,1
종잇장,1
주변,1
사람,1
고문,1
맛,1
쓸모,1
상관,1
분,1
주의,1
햇던,1
힙하,1
구김,1
제격,1
재,1
잡고,1
떼,1
탈것,1
스크레치앤젱스,1
두부,1
어브,1
식,1
문제,1
용서,1
폭,1
연해,1
딸아이,1
셋트,1
비닐,1
보임,1
스카이,1
천,1
하늘색,1
보스,1
백화점,1
절대,1
싸이클,1
짝퉁,1
이미지,1
약속,1
땐,1
큐트,1
복,1
삿는데,1
결정,1
휴대,1
물티슈,1
유감,1
온,1
핸들퍼,1
이면,1
랜덤,1
대학생,1
딸,1
생선,1
구입,1
폭풍,1
요기,1
사이트,1
컴팩트,1
자꾸,1
간편,1
돈,1
핸펀,1
장식,1
디테,1
일이,1
이전,1
은행,1
마트,1
겹,1
방수,1
심,1
뭔가,1
가성,1
리용,1
분위기,1
달리,1
진과,1
추석,1
시장,1
차림,1
