명사,빈도수
않을런,1
모,1
겨우,1
어려움,1
유치원,1
어린이,1
끌,1
아시,1
위치,1
수량,1
힘,1
스탈,1
벌,1
찌뿌,1
시작,1
사정,1
요긴,1
컴퓨터,1
선,1
깉아,1
훌렁훌렁,1
상상,1
중학교,1
배신,1
다지,1
간해,1
유도,1
복,1
햤,1
대학가,1
여동생,1
승,1
모근,1
옆쪽,1
대부분,1
플하,1
난해,1
산물,1
컨,1
체,1
구가,1
주름,1
납작,1
고려,1
엘지,1
등산,1
의사,1
잌,1
중임,1
선생님,1
굿띠끼,1
핰테,1
흐히,1
이레,1
리,1
죴,1
호크룩스,1
학업,1
맛,1
결정,1
메인,1
여성,1
먼저,1
지고,1
섯,1
강의,1
지금껏,1
팩용,1
센치,1
사면,1
같슴둥,1
집앞,1
카페,1
집,1
했슴다,1
즉,1
가든,1
붕,1
완벽,1
거려,1
나중,1
나들이,1
고이,1
성,1
응,1
없르,1
몇,1
쁘억쁘억,1
강츄,1
전역,1
군대,1
모델샷,1
상관,1
아하,1
많윰,1
쪼오꼼,1
텡텡,1
뚝,1
빈티디,1
매칭,1
고심,1
등하교,1
물,1
제대로,1
낌,1
볼땐작,1
는데,1
하니,1
역할,1
꿋,1
개꿋,1
개꿀,1
휘릭,1
성은,1
놀랏,1
수갑,1
예측,1
너비,1
여학생,1
뿌,1
요홍,1
홍,1
여러분,1
보지,1
빳빳합니,1
제약,1
구애,1
헤드셋,1
눈데,1
어디가,1
이틀,1
코,1
디도,1
뽀인트,1
너,1
타,1
당,1
유지,1
간,1
방가지,1
종류,1
맘에듬쓰,1
무넌,1
뻐,1
쟁,1
리즈,1
조음,1
안드네,1
퍽퍽함,1
삿,1
안듭니,1
칼핱,1
검,1
가은,1
휴대,1
편힌,1
대초,1
퉁퉁,1
탓,1
이오,1
찾기,1
주,1
학식,1
긔여워,1
평이,1
중반,1
상하,1
헤헤,1
저장,1
랏,1
덤,1
미군,1
후원,1
근본,1
나무,1
유,1
대학원생,1
인제,1
무드,1
클론,1
최대한,1
첫,1
고고,1
딸램,1
미리,1
오늘,1
발,1
전반,1
코팅,1
칼마틀,1
어보,1
타도,1
보가,1
놉,1
