명사,빈도수
벼르,2
자,2
중이,2
세,2
레거시,2
워,2
위,2
괜춘,2
낼,2
안정,2
흰색,2
왕,2
당황,2
아유,2
고요,2
진작,2
갑,2
체형,2
미니미,2
지금,2
첨부,2
갑인,2
담,2
맘에듭니,2
곳곳,2
진심,2
별,2
전투,1
그닥,1
판도,1
백,1
그게,1
무적,1
염,1
외,1
볼륨,1
치명,1
스쿨,1
타용,1
아앙,1
오유,1
부족함,1
인지,1
컷,1
재,1
관리,1
방한,1
슬림,1
드,1
위해,1
사,1
핮니,1
비바,1
스튜디오,1
편입,1
니,1
다라,1
순,1
받침,1
현상,1
심,1
해룡,1
좋네옄,1
탬,1
최소한,1
외부,1
휘,1
피,1
티,1
외로,1
고갈,1
얼마나,1
안성맞춤,1
덴,1
딩,1
디,1
무크,1
쪼그마,1
키링,1
유치,1
마찰,1
보풀,1
후드,1
티나,1
투맨,1
신경안,1
휘뚜르,1
마뚜르,1
둥,1
버스,1
다리,1
천도,1
방안,1
보호,1
쏙,1
뭐살,1
아기자기,1
거여,1
존,1
애용,1
가이즈,1
시험,1
기간,1
그것,1
먹기,1
도저히,1
다른사람,1
오천원,1
먼지,1
예뻐욘,1
사기,1
흐,1
대로,1
의류,1
힙,1
쿵,1
쁘억쁘억해,1
독서실,1
제외,1
구멍,1
부,1
상체,1
은,1
쌩,1
패셔너블해,1
햇건것,1
용이,1
예정,1
상표,1
달이,1
않을런,1
모,1
겨우,1
어려움,1
유치원,1
어린이,1
끌,1
아시,1
위치,1
수량,1
힘,1
스탈,1
벌,1
찌뿌,1
시작,1
사정,1
요긴,1
컴퓨터,1
선,1
깉아,1
훌렁훌렁,1
상상,1
중학교,1
배신,1
다지,1
간해,1
유도,1
복,1
햤,1
대학가,1
여동생,1
승,1
모근,1
옆쪽,1
대부분,1
플하,1
난해,1
산물,1
컨,1
체,1
구가,1
주름,1
납작,1
고려,1
엘지,1
등산,1
의사,1
잌,1
중임,1
선생님,1
굿띠끼,1
핰테,1
흐히,1
이레,1
리,1
죴,1
호크룩스,1
학업,1
맛,1
결정,1
메인,1
여성,1
먼저,1
지고,1
섯,1
강의,1
지금껏,1
팩용,1
센치,1
사면,1
같슴둥,1
집앞,1
카페,1
집,1
했슴다,1
즉,1
가든,1
붕,1
완벽,1
거려,1
나중,1
나들이,1
고이,1
성,1
응,1
없르,1
몇,1
쁘억쁘억,1
강츄,1
전역,1
군대,1
모델샷,1
상관,1
아하,1
많윰,1
쪼오꼼,1
텡텡,1
뚝,1
빈티디,1
매칭,1
고심,1
등하교,1
물,1
제대로,1
낌,1
볼땐작,1
는데,1
하니,1
역할,1
꿋,1
개꿋,1
개꿀,1
휘릭,1
성은,1
놀랏,1
수갑,1
예측,1
너비,1
여학생,1
뿌,1
요홍,1
홍,1
여러분,1
보지,1
빳빳합니,1
제약,1
구애,1
헤드셋,1
눈데,1
어디가,1
이틀,1
코,1
디도,1
뽀인트,1
너,1
타,1
당,1
유지,1
간,1
방가지,1
종류,1
맘에듬쓰,1
무넌,1
뻐,1
쟁,1
리즈,1
조음,1
안드네,1
퍽퍽함,1
삿,1
안듭니,1
칼핱,1
검,1
가은,1
휴대,1
편힌,1
대초,1
퉁퉁,1
탓,1
이오,1
찾기,1
주,1
학식,1
긔여워,1
평이,1
중반,1
상하,1
헤헤,1
저장,1
랏,1
덤,1
미군,1
후원,1
근본,1
나무,1
유,1
대학원생,1
인제,1
무드,1
클론,1
최대한,1
첫,1
고고,1
딸램,1
미리,1
오늘,1
발,1
전반,1
딸아이,1
졸업,1
코팅,1
칼마틀,1
어보,1
타도,1
보가,1
놉,1
찜,1
힙하,1
규,1
안보,1
베드,1
항상,1
폼,1
본체,1
박음질,1
낭낭,1
메보,1
펐,1
커버,1
낫밷인듯,1
넘예뿌단,1
만난,1
괨,1
굳이,1
한가지,1
전부,1
합리,1
가다가,1
돌,1
문대,1
밑바닥,1
이염,1
오염,1
대감,1
어색,1
키키,1
올해,1
판,1
집도,1
차고,1
방,1
프로,1
자기,1
입,1
불량,1
실밥,1
오빠,1
갠,1
툰하,1
참고,1
감수,1
구도,1
세미,1
정장,1
지지,1
대가,1
페이지,1
칠이,1
쇠,1
냄새,1
기고,1
엉덩이,1
여러,1
민망,1
수난,1
쇼핑몰,1
당장,1
밴딩,1
샤오미,1
판이,1
부터,1
얼른,1
어딘가,1
이삿짐,1
소리,1
별명,1
어,1
두운,1
갈색,1
바지,1
톤코디,1
보시,1
실루엣,1
청,1
자렇,1
할미,1
여우,1
이쎠,1
젛아,1
교양,1
자크,1
평타,1
새내기,1
안겹,1
둘,1
연해,1
주의,1
사촌,1
트렌드,1
쭉,1
여자아이,1
대박,1
단기,1
유독,1
옥,1
오래오래,1
애정,1
마침,1
중간,1
파이팅,1
오우,1
쿠폰,1
보임,1
난,1
인형,1
어유,1
울트라북,1
마지노선,1
듯해,1
팍,1
댕기,1
고장,1
다용,1
쪼끔,1
고삼,1
수용,1
일해,1
아픔,1
잔,1
스포츠,1
굿귯,1
웬만큼,1
그물,1
데샹,1
책드가,1
흐트려지,1
상용,1
거울,1
모나,1
겸,1
줫,1
버핏,1
케,1
판매,1
분위기,1
전환,1
크로스,1
백도,1
우선,1
알앟는데,1
겹,1
랫,1
아래쪽,1
고급,1
허니,1
직장인,1
젤,1
키도,1
외출,1
흐물텅거리,1
바깥쪽,1
설명,1
케이스,1
쪼큼,1
이전,1
본대,1
체격,1
편햐,1
말로,1
표현,1
이구,1
손,1
쁘,1
대용,1
교복,1
운동,1
빅스튜던트,1
적도,1
넓이,1
달라,1
진에사,1
에어,1
오해,1
기엽,1
무척,1
여유,1
햇,1
베스트,1
마크,1
효율,1
밀착,1
녀,1
누구,1
어울림,1
널널해,1
안함,1
머무,1
천,1
깔꼼,1
마찬가지,1
뉴발거,1
용량,1
방이,1
덧,1
곳운,1
금방,1
얼릉,1
고기,1
엽,1
사주,1
가을,1
깉,1
이요,1
박스,1
열,1
아홉,1
반드시,1
덜,1
진,1
통학,1
욤,1
등판,1
본인,1
간호학,1
겹칠,1
염려,1
실수,1
백화점,1
꼭꼭,1
블프,1
가벙,1
짱귀,1
가볍걱,1
쪼꼬미,1
등치,1
르나,1
