명사,빈도수
안내,1
숄더끈,1
구오,1
찰나,1
번,1
마카롱,1
오기,1
진자,1
물기,1
중간,1
이음,1
새,1
고정,1
엄마,1
진,1
그게,1
아이템,1
대일리,1
쓰기,1
슙니,1
손시렵,1
퍼커버,1
무료,1
벚꽃놀이,1
예전,1
핑크,1
러버,1
려고,1
민하,1
다가,1
다만,1
배,1
덩,1
상단,1
테이프,1
양쪽,1
틑어져,1
위,1
훼손,1
완충제,1
쓰시,1
휘뚜르마뚜르,1
후리,1
별,1
개선,1
아보,1
핸드백,1
질도,1
여유,1
분리,1
차,1
년,1
본드,1
얘,1
혹시,1
고려,1
선생님,1
따라서,1
대안,1
들것,1
보부,1
상임,1
불구,1
이번,1
살걸,1
고가,1
지불,1
소화,1
탬,1
껀,1
보가,1
잌,1
스트릿,1
패션,1
요새,1
정장,1
휘뚤마뚤,1
사랑,1
더블,1
스트렙,1
베이지,1
대서,1
결과,1
정해,1
고객,1
반영,1
건가,1
국룰,1
미니미,1
아마,1
예정,1
제대로,1
불찰,1
최대로,1
키도,1
오떻,1
결제,1
직전,1
댱,1
크러스끈,1
구성,1
적립금,1
이즈,1
뭔들,1
살,1
모든,1
허지만,1
듬,1
니,1
그림,1
라운드,1
대부분,1
요건,1
라이트,1
블루,1
스트링,1
자마자,1
착,1
조아욘,1
쿠키,1
역시,1
역,1
예뻐욤,1
감,1
어두우,1
반감,1
접,1
실밥,1
꽉,1
장가,1
짱,1
매장,1
사가,1
제일,1
적지,1
스크레치,1
선호,1
영어,1
예버,1
백배,1
총알,1
행사,1
달동,1
글씨,1
듭니당,1
자랑,1
검정색,1
